Listing_id,Host_id,ID_ciudad,Precio
17878,68997,8,221
24480,99249,8,307
25026,3746246,8,160
35636,153232,8,273
35764,153691,8,135
35797,153786,5,4088
41198,178975,8,484
44616,196253,5,7293
48305,70933,8,1751
48901,222884,8,540
49179,224192,8,160
50294,70933,8,782
50759,233554,8,3382
51703,238091,8,140
56074,265650,5,600
58955,282620,5,1487
61792,299558,5,1239
64795,93005,8,314
65546,70933,8,1263
66574,326301,8,180
66797,328096,8,145
67703,334451,5,1962
68422,339264,8,213
70080,319672,8,271
70644,212109,5,929
73581,384673,8,179
75585,401375,8,393
76245,406651,8,783
76300,406989,8,66
76961,411441,8,94
77318,110002,8,197
80145,432777,8,109
85807,470565,8,149
86670,474221,8,224
86978,476838,8,818
87202,477755,8,146
87762,204850012,8,100
88528,474221,8,179
88781,474221,8,157
89454,487000,8,450
89862,474221,8,224
89893,483023,8,491
89981,488707,8,323
90907,484054,8,197
92107,496230,8,190
92531,497786,8,150
92549,497786,8,108
94895,506187,8,180
96431,511850,8,490
96478,530471,8,170
97636,496656,8,128
99547,524101,8,153
99971,525976,8,398
101182,530471,8,200
103053,533278,8,382
106372,551316,8,507
107078,540705,5,3676
107469,556738,8,54
108072,521514,8,185
108882,475926,8,265
109747,554897,8,765
118355,523251,8,2143
125115,622730,8,818
125656,624433,8,320
127018,629505,8,140
130234,641519,8,180
131610,647454,5,1390
132114,649320,8,105
132909,652889,8,300
133221,6416134,8,171
133575,196752,8,98
137002,635510,8,784
137048,670198,8,180
137150,670788,8,2727
137343,671579,8,377
141434,687759,8,1068
145966,706303,8,200
146028,706545,8,1077
146402,713797,8,273
154127,757937,8,250
165772,790208,5,3407
166177,792218,8,140
166861,454863,8,248
166972,795470,8,170
167031,792218,8,181
167932,792218,8,142
170397,792218,8,137
171109,816295,5,250
171505,820276,8,436
172902,792218,8,129
173709,829630,8,80
174101,259815,8,595
176185,842466,8,1910
177029,846625,8,100
178833,856145,8,125
178951,856145,8,105
180808,36836,5,1442
181138,868175,8,1174
186604,896919,8,655
186989,211028,8,150
187030,899360,5,1146
187092,211028,8,213
187745,899360,5,1652
190204,918340,8,250
190906,823800,8,330
191955,929229,8,100
193317,937397,8,164
194319,940895,8,1025
194937,899360,5,1225
196312,955720,8,180
198646,969822,8,69
198665,969899,8,491
198778,970609,5,826
201308,984392,8,818
202400,961863,8,350
202778,529105,8,175
203674,999125,8,2278
204887,998053,5,800
210173,1030316,8,1588
215793,1030316,8,269
215878,1030316,8,237
215887,1030316,8,215
216461,1154263,8,818
216700,1118486,8,180
217685,184410,5,620
219250,1134264,8,170
220377,1142424,8,198
220705,1144461,8,300
221379,132230,8,538
223073,503995,8,144
223200,1159474,8,300
230989,1207700,8,159
231105,1208327,8,137
231497,1207700,8,160
231516,1207700,8,350
236991,1241662,8,142
238802,235496,8,401
239531,792218,8,167
242214,530471,8,200
245341,1286915,8,150
245507,1288063,5,805
245951,1289982,8,230
246057,1288063,5,867
247052,1295841,8,350
247543,1297488,5,620
247779,1298591,8,179
248756,804664,8,383
249323,1306210,8,673
249616,1307761,8,250
249842,1309444,8,300
251701,1319991,8,546
251868,1321287,8,120
252618,1326107,5,298
255354,855066,5,675
256323,1348172,8,169
256555,790208,5,3015
260323,1365868,8,1884
261897,1373924,5,894
262466,1377161,8,250
264816,259815,8,264
265072,829630,8,116
265752,132230,8,477
266698,617333,8,1000
271048,1417206,5,2008
271975,1423140,8,236
272335,7506316,8,130
272631,1426830,8,147
273261,533566,8,5382
273333,625565,8,120
273363,556738,8,48
273463,319672,8,240
273496,4022675,8,531
273753,556738,8,48
274116,1433502,8,153
274552,1435630,8,500
276504,1444589,5,2044
276986,1446638,8,164
277124,72111,8,490
277923,1450861,8,500
278679,449677,8,169
278745,529105,8,1847
280625,496656,8,138
280765,1464031,8,199
281134,196253,5,1725
281459,1116738,8,436
282071,1470188,8,355
284762,1408960,8,400
284910,1243921,8,5430
285363,1381764,8,276
285817,181028,8,384
286677,1429181,8,300
286702,1429181,8,110
286788,1429181,8,207
286792,1429181,8,200
287940,1497087,5,516
288758,1500426,8,250
289898,1429181,8,180
